"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2006";"k$";"11433,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2006";"k$";"12437";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2006";"k$";"12100,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2006";"k$";"11694,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2006";"k$";"10977,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2006";"k$";"11352,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2006";"k$";"11196,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2006";"k$";"11070,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2006";"k$";"11402,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2006";"k$";"11011";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2006";"k$";"11350,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2007";"k$";"12377";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2007";"k$";"11248";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2007";"k$";"12025,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2007";"k$";"12175,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2007";"k$";"12136,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2007";"k$";"11638,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2007";"k$";"11798,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2007";"k$";"11678,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2007";"k$";"11433,2";""
