"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-1999";"kg/hl";"5,7664";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-1999";"kg/hl";"5,7641";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-1999";"kg/hl";"5,7174";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-1999";"kg/hl";"5,6731";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-1999";"kg/hl";"5,69";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-1999";"kg/hl";"5,7044";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-1999";"kg/hl";"5,6918";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-1999";"kg/hl";"5,6846";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2000";"kg/hl";"5,7191";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2000";"kg/hl";"5,7271";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2000";"kg/hl";"5,7304";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2000";"kg/hl";"5,7271";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2000";"kg/hl";"5,7475";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2000";"kg/hl";"5,7324";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2000";"kg/hl";"5,7079";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2000";"kg/hl";"5,6663";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2000";"kg/hl";"5,6576";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2000";"kg/hl";"5,6345";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2000";"kg/hl";"5,6569";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2000";"kg/hl";"5,6702";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2001";"kg/hl";"5,6605";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2001";"kg/hl";"5,6702";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2001";"kg/hl";"5,6713";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2001";"kg/hl";"5,6762";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2001";"kg/hl";"5,7106";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2001";"kg/hl";"5,716";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2001";"kg/hl";"5,6995";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2001";"kg/hl";"5,6603";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2001";"kg/hl";"5,6435";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2001";"kg/hl";"5,6536";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2001";"kg/hl";"5,667";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2001";"kg/hl";"5,6833";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2002";"kg/hl";"5,7165";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2002";"kg/hl";"5,7065";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2002";"kg/hl";"5,7067";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2002";"kg/hl";"5,7366";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2002";"kg/hl";"5,7348";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2002";"kg/hl";"5,7475";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2002";"kg/hl";"5,7199";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2002";"kg/hl";"5,697";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2002";"kg/hl";"5,6624";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2002";"kg/hl";"5,6687";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2002";"kg/hl";"5,6701";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2002";"kg/hl";"5,7019";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2003";"kg/hl";"5,7322";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2003";"kg/hl";"5,7535";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2003";"kg/hl";"5,7511";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2003";"kg/hl";"5,7429";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2003";"kg/hl";"5,7503";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2003";"kg/hl";"5,7587";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2003";"kg/hl";"5,7172";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2003";"kg/hl";"5,686";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2003";"kg/hl";"5,692";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2003";"kg/hl";"5,7012";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2003";"kg/hl";"5,6879";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2003";"kg/hl";"5,7021";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2004";"kg/hl";"5,73";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2004";"kg/hl";"5,7108";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2004";"kg/hl";"5,7117";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2004";"kg/hl";"5,7232";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2004";"kg/hl";"5,7295";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2004";"kg/hl";"5,7402";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2004";"kg/hl";"5,717";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2004";"kg/hl";"5,6531";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2004";"kg/hl";"5,6417";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2004";"kg/hl";"5,6375";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2004";"kg/hl";"5,6269";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2004";"kg/hl";"5,6329";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2005";"kg/hl";"5,6527";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2005";"kg/hl";"5,6569";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2005";"kg/hl";"5,6593";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2005";"kg/hl";"5,6728";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2005";"kg/hl";"5,6631";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2005";"kg/hl";"5,6674";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2005";"kg/hl";"5,6619";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2005";"kg/hl";"5,6372";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2005";"kg/hl";"5,6188";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2005";"kg/hl";"5,6185";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2005";"kg/hl";"5,6197";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2005";"kg/hl";"5,6332";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2006";"kg/hl";"5,6715";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2006";"kg/hl";"5,6932";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2006";"kg/hl";"5,6962";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2006";"kg/hl";"5,6888";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2006";"kg/hl";"5,6857";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2006";"kg/hl";"5,6722";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2006";"kg/hl";"5,6469";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2006";"kg/hl";"5,6303";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2006";"kg/hl";"5,6377";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2006";"kg/hl";"5,6131";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2006";"kg/hl";"5,6156";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2006";"kg/hl";"5,6283";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2007";"kg/hl";"5,6371";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2007";"kg/hl";"5,6621";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2007";"kg/hl";"5,6611";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2007";"kg/hl";"5,6683";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2007";"kg/hl";"5,664";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2007";"kg/hl";"5,6545";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2007";"kg/hl";"5,6475";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2007";"kg/hl";"5,6376";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2007";"kg/hl";"5,6164";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2007";"kg/hl";"5,6214";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2007";"kg/hl";"5,6225";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2007";"kg/hl";"5,6498";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2008";"kg/hl";"5,6561";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2008";"kg/hl";"5,6801";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2008";"kg/hl";"5,6919";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2008";"kg/hl";"5,6842";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2008";"kg/hl";"5,7028";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2008";"kg/hl";"5,7014";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2008";"kg/hl";"5,6856";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2008";"kg/hl";"5,6658";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2008";"kg/hl";"5,6318";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2008";"kg/hl";"5,6194";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2008";"kg/hl";"5,6217";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2008";"kg/hl";"5,6255";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2009";"kg/hl";"5,647";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2009";"kg/hl";"5,6511";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2009";"kg/hl";"5,6513";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2009";"kg/hl";"5,6554";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2009";"kg/hl";"5,6798";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2009";"kg/hl";"5,6915";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2009";"kg/hl";"5,6746";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2009";"kg/hl";"5,6682";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2009";"kg/hl";"5,6336";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2009";"kg/hl";"5,635";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2009";"kg/hl";"5,6574";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2009";"kg/hl";"5,6615";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2010";"kg/hl";"5,6706";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2010";"kg/hl";"5,6854";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2010";"kg/hl";"5,7";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2010";"kg/hl";"5,6946";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2010";"kg/hl";"5,7212";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2010";"kg/hl";"5,7318";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2010";"kg/hl";"5,7238";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2010";"kg/hl";"5,7142";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2010";"kg/hl";"5,6803";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2010";"kg/hl";"5,6719";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2010";"kg/hl";"5,6623";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2010";"kg/hl";"5,6783";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2011";"kg/hl";"5,6814";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2011";"kg/hl";"5,6913";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2011";"kg/hl";"5,7264";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2011";"kg/hl";"5,735";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2011";"kg/hl";"5,7279";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2011";"kg/hl";"5,7219";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2011";"kg/hl";"5,7004";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2011";"kg/hl";"5,6988";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2011";"kg/hl";"5,6878";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2011";"kg/hl";"5,6901";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2011";"kg/hl";"5,6721";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2011";"kg/hl";"5,7132";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2012";"kg/hl";"5,7435";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2012";"kg/hl";"5,706";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2012";"kg/hl";"5,7341";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2012";"kg/hl";"5,737";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2012";"kg/hl";"5,727";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2012";"kg/hl";"5,7409";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2012";"kg/hl";"5,7326";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2012";"kg/hl";"5,7216";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2012";"kg/hl";"5,7185";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2012";"kg/hl";"5,6992";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2012";"kg/hl";"5,7147";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2012";"kg/hl";"5,7304";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2013";"kg/hl";"5,7254";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2013";"kg/hl";"5,741";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2013";"kg/hl";"5,7632";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2013";"kg/hl";"5,741";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2013";"kg/hl";"5,7556";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2013";"kg/hl";"5,7439";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2013";"kg/hl";"5,7299";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2013";"kg/hl";"5,718";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2013";"kg/hl";"5,7179";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2013";"kg/hl";"5,6916";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2013";"kg/hl";"5,6934";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2013";"kg/hl";"5,7248";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2014";"kg/hl";"5,7392";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2014";"kg/hl";"5,7155";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2014";"kg/hl";"5,7388";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2014";"kg/hl";"5,7433";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2014";"kg/hl";"5,7472";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2014";"kg/hl";"5,7381";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2014";"kg/hl";"5,7336";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2014";"kg/hl";"5,7336";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2014";"kg/hl";"5,7299";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2014";"kg/hl";"5,7227";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2014";"kg/hl";"5,7259";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2014";"kg/hl";"5,7364";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2015";"kg/hl";"5,7317";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2015";"kg/hl";"5,728";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2015";"kg/hl";"5,7417";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2015";"kg/hl";"5,7356";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2015";"kg/hl";"5,7374";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2015";"kg/hl";"5,7549";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2015";"kg/hl";"5,7514";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2015";"kg/hl";"5,7406";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2015";"kg/hl";"5,7256";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2015";"kg/hl";"5,7423";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2015";"kg/hl";"5,7358";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2015";"kg/hl";"5,7504";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2016";"kg/hl";"5,7603";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2016";"kg/hl";"5,772";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2016";"kg/hl";"5,7715";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2016";"kg/hl";"5,7658";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2016";"kg/hl";"5,7647";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2016";"kg/hl";"5,7714";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"07-2016";"kg/hl";"5,7687";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"08-2016";"kg/hl";"5,7582";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"09-2016";"kg/hl";"5,7351";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"10-2016";"kg/hl";"5,7416";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"11-2016";"kg/hl";"5,7548";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"12-2016";"kg/hl";"5,7703";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"01-2017";"kg/hl";"5,7838";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"02-2017";"kg/hl";"5,7786";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"03-2017";"kg/hl";"5,7802";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"04-2017";"kg/hl";"5,7874";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"05-2017";"kg/hl";"5,7746";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en lactose et autres solides";"Québec";"06-2017";"kg/hl";"5,7788";""
