"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2013";"hl";"2441379";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2013";"hl";"2517918,5";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2013";"hl";"2397695,58";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2013";"hl";"2430601,24";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2013";"hl";"2467082,5";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2013";"hl";"2380019,08";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-2013";"hl";"2457661,66";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-2013";"hl";"2371488,97";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2013";"hl";"2430493,72";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2014";"hl";"2445952,29";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2014";"hl";"2225664,96";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2014";"hl";"2448286,04";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2014";"hl";"2378504,82";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2014";"hl";"2460714,17";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2014";"hl";"2380464,25";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2014";"hl";"2449515,97";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2014";"hl";"2473284,49";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2014";"hl";"2396287,85";""
