"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";""
"Producteurs laitiers ";"Québec";"03-2017";"n";"5397";""
"Producteurs laitiers ";"Québec";"04-2017";"n";"5381";""
"Producteurs laitiers ";"Québec";"05-2017";"n";"5363";""
"Producteurs laitiers ";"Québec";"06-2017";"n";"5344";""
"Producteurs laitiers ";"Québec";"07-2017";"n";"5330";""
"Producteurs laitiers ";"Québec";"08-2017";"n";"5316";""
"Producteurs laitiers ";"Québec";"09-2017";"n";"5299";""
"Producteurs laitiers ";"Québec";"10-2017";"n";"5282";""
"Producteurs laitiers ";"Québec";"11-2017";"n";"5258";""
"Producteurs laitiers ";"Québec";"12-2017";"n";"5246";""
"Producteurs laitiers ";"Québec";"01-2018";"n";"5227";""
"Producteurs laitiers ";"Québec";"02-2018";"n";"5218";""
"Producteurs laitiers ";"Québec";"03-2018";"n";"5210";""
"Producteurs laitiers ";"Québec";"04-2018";"n";"5193";""
"Producteurs laitiers ";"Québec";"05-2018";"n";"5157";""
"Producteurs laitiers ";"Québec";"06-2018";"n";"5140";""
"Producteurs laitiers ";"Québec";"07-2018";"n";"5106";""
