"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2009";"$/kg";"7,6519";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2009";"$/kg";"8,1977";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2009";"$/kg";"8,8578";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2010";"$/kg";"8,0519";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2010";"$/kg";"8,6875";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2010";"$/kg";"8,1067";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2010";"$/kg";"8,7453";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2010";"$/kg";"8,3556";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2010";"$/kg";"8,2102";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2010";"$/kg";"8,9553";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2010";"$/kg";"7,9752";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2010";"$/kg";"8,2037";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2010";"$/kg";"8,7846";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2010";"$/kg";"8,2125";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2010";"$/kg";"8,6463";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2011";"$/kg";"8,0202";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2011";"$/kg";"9,0898";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2011";"$/kg";"8,956";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2011";"$/kg";"8,5916";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2011";"$/kg";"8,7011";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2011";"$/kg";"8,8857";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2011";"$/kg";"8,1943";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2011";"$/kg";"8,4999";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2011";"$/kg";"9,2838";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2011";"$/kg";"8,9118";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2011";"$/kg";"9,3438";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2011";"$/kg";"8,8506";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2012";"$/kg";"8,7339";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2012";"$/kg";"9,0736";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2012";"$/kg";"8,3872";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2012";"$/kg";"7,3592";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2012";"$/kg";"8,8421";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2012";"$/kg";"8,4808";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2012";"$/kg";"8,4485";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2012";"$/kg";"8,5096";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2012";"$/kg";"8,805";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2012";"$/kg";"8,3132";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2012";"$/kg";"8,769";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2012";"$/kg";"9,0519";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2013";"$/kg";"8,1547";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2013";"$/kg";"9,1422";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2013";"$/kg";"8,531";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2013";"$/kg";"8,0919";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2013";"$/kg";"8,9267";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2013";"$/kg";"9,122";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2013";"$/kg";"9,0974";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2013";"$/kg";"9,3771";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2013";"$/kg";"8,6165";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2013";"$/kg";"9,3934";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2013";"$/kg";"9,5529";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2013";"$/kg";"9,3112";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2014";"$/kg";"9,2884";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2014";"$/kg";"9,6481";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2014";"$/kg";"9,6687";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2014";"$/kg";"9,906";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2014";"$/kg";"9,7455";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2014";"$/kg";"9,9036";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2014";"$/kg";"9,5701";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2014";"$/kg";"9,4499";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2014";"$/kg";"8,3997";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2014";"$/kg";"9,0627";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2014";"$/kg";"9,2777";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2014";"$/kg";"9,1515";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2015";"$/kg";"8,3543";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2015";"$/kg";"8,6586";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2015";"$/kg";"9,1608";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2015";"$/kg";"8,1479";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2015";"$/kg";"7,9859";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2015";"$/kg";"8,0595";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2015";"$/kg";"7,517";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2015";"$/kg";"7,7703";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2015";"$/kg";"8,3517";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2015";"$/kg";"8,3417";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2015";"$/kg";"8,5073";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2015";"$/kg";"8,0194";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2016";"$/kg";"7,2577";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2016";"$/kg";"7,0191";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2016";"$/kg";"7,4838";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2016";"$/kg";"7,2179";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2016";"$/kg";"7,7477";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2016";"$/kg";"7,8995";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2016";"$/kg";"6,7037";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2016";"$/kg";"8,0981";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2016";"$/kg";"7,5283";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2016";"$/kg";"7,7076";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2016";"$/kg";"7,9948";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2016";"$/kg";"8,2464";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2017";"$/kg";"6,9586";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2017";"$/kg";"7,3142";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2017";"$/kg";"7,184";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2017";"$/kg";"6,4695";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2017";"$/kg";"7,0845";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2017";"$/kg";"7,6364";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2017";"$/kg";"7,2784";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"08-2017";"$/kg";"7,7088";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"09-2017";"$/kg";"7,1969";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"10-2017";"$/kg";"7,4531";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"11-2017";"$/kg";"7,2351";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"12-2017";"$/kg";"6,9474";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"01-2018";"$/kg";"6,7256";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"02-2018";"$/kg";"6,7947";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"03-2018";"$/kg";"6,4761";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"04-2018";"$/kg";"5,9076";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"05-2018";"$/kg";"6,4734";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"06-2018";"$/kg";"6,3177";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Protéine";"..Montant brut";"Québec";"07-2018";"$/kg";"6,6862";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-1999";"$/kg";"1,2471";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-1999";"$/kg";"1,2321";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-1999";"$/kg";"1,2328";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-1999";"$/kg";"1,2268";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-1999";"$/kg";"1,2144";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-1999";"$/kg";"1,1519";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-1999";"$/kg";"1,2105";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-1999";"$/kg";"1,2684";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-1999";"$/kg";"1,201";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-1999";"$/kg";"1,2864";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-1999";"$/kg";"1,2626";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-1999";"$/kg";"1,3059";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2000";"$/kg";"1,2356";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2000";"$/kg";"1,341";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2000";"$/kg";"1,3348";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2000";"$/kg";"1,3217";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2000";"$/kg";"1,2706";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2000";"$/kg";"1,346";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2000";"$/kg";"1,241";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2000";"$/kg";"1,3021";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2000";"$/kg";"1,3345";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2000";"$/kg";"1,3179";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2000";"$/kg";"1,3483";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2000";"$/kg";"1,3231";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2001";"$/kg";"1,2194";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2001";"$/kg";"1,3671";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2001";"$/kg";"1,3182";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2001";"$/kg";"1,3475";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2001";"$/kg";"1,3321";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2001";"$/kg";"1,2636";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2001";"$/kg";"1,2536";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2001";"$/kg";"1,3476";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2001";"$/kg";"1,3781";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2001";"$/kg";"1,3233";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2001";"$/kg";"1,3622";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2001";"$/kg";"1,3415";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2002";"$/kg";"1,3474";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2002";"$/kg";"1,3312";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2002";"$/kg";"1,2389";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2002";"$/kg";"1,2393";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2002";"$/kg";"1,2734";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2002";"$/kg";"1,4142";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2002";"$/kg";"1,3471";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2002";"$/kg";"1,3594";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2002";"$/kg";"1,3595";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2002";"$/kg";"1,3936";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2002";"$/kg";"1,3751";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2002";"$/kg";"1,3663";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2003";"$/kg";"1,2897";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2003";"$/kg";"1,4079";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2003";"$/kg";"1,3872";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2003";"$/kg";"1,3997";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2003";"$/kg";"1,3565";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2003";"$/kg";"1,3744";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2003";"$/kg";"1,2942";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2003";"$/kg";"1,3678";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2003";"$/kg";"1,4519";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2003";"$/kg";"1,3856";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2003";"$/kg";"1,3933";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2003";"$/kg";"1,4044";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2004";"$/kg";"1,2916";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2004";"$/kg";"1,3424";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2004";"$/kg";"1,3081";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2004";"$/kg";"1,3579";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2004";"$/kg";"1,3196";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2004";"$/kg";"1,4362";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2004";"$/kg";"1,3162";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2004";"$/kg";"1,4614";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2004";"$/kg";"1,4267";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2004";"$/kg";"1,4825";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2004";"$/kg";"1,5027";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2004";"$/kg";"1,4444";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2005";"$/kg";"1,42";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2005";"$/kg";"1,5029";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2005";"$/kg";"1,4784";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2005";"$/kg";"1,3892";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2005";"$/kg";"1,4093";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2005";"$/kg";"1,4787";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2005";"$/kg";"1,4916";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2005";"$/kg";"1,5345";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2005";"$/kg";"1,5436";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2005";"$/kg";"1,5108";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2005";"$/kg";"1,6058";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2005";"$/kg";"1,4797";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2006";"$/kg";"1,4487";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2006";"$/kg";"1,5863";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2006";"$/kg";"1,5736";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2006";"$/kg";"1,5012";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2006";"$/kg";"1,5066";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"06-2006";"$/kg";"1,502";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"07-2006";"$/kg";"1,4334";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"08-2006";"$/kg";"1,512";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"09-2006";"$/kg";"1,5506";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"10-2006";"$/kg";"1,575";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"11-2006";"$/kg";"1,5698";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"12-2006";"$/kg";"1,5962";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"01-2007";"$/kg";"1,5473";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"02-2007";"$/kg";"1,5973";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"03-2007";"$/kg";"1,6151";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"04-2007";"$/kg";"1,6377";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Lactose et autres solides";"..Montant brut";"Québec";"05-2007";"$/kg";"1,5738";""
