"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";"";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2005";"k$";"167960,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2006";"k$";"170214,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2006";"k$";"161719,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2006";"k$";"178342,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2006";"k$";"164941,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2006";"k$";"170243,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2006";"k$";"161446,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2006";"k$";"153406";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2006";"k$";"163072,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2006";"k$";"161768,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2006";"k$";"167832,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2006";"k$";"163591";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2006";"k$";"170565,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2007";"k$";"170120,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2007";"k$";"157476,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2007";"k$";"174238,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2007";"k$";"175810,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2007";"k$";"180038,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2007";"k$";"176165,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2007";"k$";"174464,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2007";"k$";"179941,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2007";"k$";"178825,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2007";"k$";"181510,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2007";"k$";"178072,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2007";"k$";"179688";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2008";"k$";"175340,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2008";"k$";"170133,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2008";"k$";"174144";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2008";"k$";"179424,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2008";"k$";"179942,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2008";"k$";"175002,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2008";"k$";"167285,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2008";"k$";"174260,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2008";"k$";"173606,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2008";"k$";"174746,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2008";"k$";"173635,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2008";"k$";"178048,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2009";"k$";"183934,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2009";"k$";"163343,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2009";"k$";"183970,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2009";"k$";"179117,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2009";"k$";"183451,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2009";"k$";"181541,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2009";"k$";"178644,7";""
